日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI14,DIF,DEA,MACD
2023-01-02,1018.53,1019.94,1022.85,1010.73,398806,4514140861.39,2.4,1.93,-1.62,1.34,,,,,0.0,0.0,0.0
2023-01-03,1011.28,1010.41,1022.76,1010.1,359371,1500429066.29,3.35,0.67,-1.44,1.61,,,,,-0.760227920227976,-0.1520455840455952,-1.2163646723647616
2023-01-04,1007.72,1007.68,1033.76,982.14,335116,3380296208.75,0.32,1.8,1.95,1.49,,,,,-1.5649622973841133,-0.4346289267132989,-2.2606667413416286
2023-01-05,997.16,994.84,997.16,981.05,354875,4371775077.27,2.54,1.35,-15.17,0.9,,,,,-3.201891370114595,-0.9880814153935582,-4.427619909442074
2023-01-06,989.06,980.8,989.06,971.23,492544,3717179078.25,0.28,-3.0,1.83,1.03,1002.734,,,,-5.567896867323725,-1.9040445057795916,-7.327704723088267
2023-01-09,962.85,961.24,967.35,934.67,474959,2513019909.97,0.66,0.44,10.48,1.61,990.994,,,,-8.918494942147618,-3.306934593053197,-11.223120698188842
2023-01-10,971.49,971.73,988.27,965.2,182704,2801988797.96,2.5,0.06,-18.59,1.4,983.258,,,,-10.605163007127771,-4.766580275868112,-11.67716546251932
2023-01-11,983.74,978.18,983.74,977.06,426719,3716178179.06,2.89,-1.14,10.86,0.33,977.358,,,,-11.291240117785946,-6.071512244251679,-10.439455747068536
2023-01-12,962.02,955.81,989.85,946.67,118507,1403761642.2,3.63,1.95,0.71,1.64,969.552,,,,-13.484591243027694,-7.554128044006882,-11.860926398041624
2023-01-13,959.72,961.12,969.26,959.72,261695,2756571877.34,0.48,-3.07,-7.92,0.9,965.616,,,,-14.62576843524812,-8.96845612225513,-11.314624625985978
2023-01-16,973.84,973.32,976.27,964.01,340846,2472553766.88,3.38,6.03,-0.64,1.97,968.0319999999999,,,,-14.37995833302466,-10.050756564409037,-8.658403537231248
2023-01-17,1006.05,1003.68,1017.51,999.35,324616,4699254835.55,0.37,-0.51,-1.25,0.88,974.4219999999999,,,,-11.601617559681358,-10.360928763463502,-2.481377592435713
2023-01-18,1026.75,1020.12,1026.75,1008.37,148436,3667967018.55,1.46,-0.28,4.56,1.74,982.8099999999998,,,,-7.98118968814822,-9.884980948400445,3.8075825205044502
2023-01-19,1028.37,1023.7,1046.29,1020.52,322988,2886990963.46,2.44,-2.67,-2.85,1.03,996.3880000000001,,,51.1332127787824,-4.7681343507572365,-8.861611628871804,8.186954556229136
2023-01-20,1017.86,1018.51,1020.73,1013.27,143016,1614751439.34,0.32,1.37,-20.3,0.34,1007.866,,,49.58209129697818,-2.6104626835621048,-7.611381839809865,10.00183831249552
2023-01-23,1035.97,1033.28,1070.8,1017.28,72766,2629882622.26,1.87,-3.09,-6.35,0.16,1019.858,,,56.48499971644076,0.288003297101568,-6.0315048124275785,12.639016219058293
2023-01-24,1056.84,1057.1,1067.68,1056.84,383335,1750623019.18,3.05,-2.83,9.01,0.99,1030.542,,,62.51646236450206,4.45577005349503,-3.9340498392430576,16.779639785476174
2023-01-25,1073.56,1074.99,1084.18,1072.42,231738,4386030436.62,2.36,-0.16,2.71,0.02,1041.516,,,69.79305576134735,9.097458879119586,-1.327748095570529,20.85041394938023
2023-01-26,1084.65,1079.49,1091.88,1051.84,178339,2815852711.05,0.19,0.69,3.59,1.74,1052.674,,,75.57663401233609,12.989409282339693,1.5356833800115157,22.907451804656354
2023-01-27,1088.31,1089.24,1122.64,1077.39,99552,625043224.56,4.2,-5.13,10.26,1.79,1066.8200000000002,1010.759,,84.9497597204019,16.668408495320364,4.562228403073285,24.21236018449416
2023-01-30,1073.63,1071.2,1089.87,1049.32,222622,1341497679.8,4.09,2.83,-14.06,0.74,1074.404,1013.3220000000001,,76.08433418996171,17.921773593862554,7.234137441231139,21.37527230526283
2023-01-31,1087.56,1081.67,1097.4,1071.63,450395,2445610630.07,2.8,0.46,-1.08,1.47,1079.318,1016.885,,76.5781498792953,19.53473173552561,9.694256300090034,19.680950870871154
2023-02-01,1102.09,1104.58,1105.84,1102.09,414083,1225110299.0,1.42,-0.12,-6.64,1.88,1085.236,1021.7300000000001,,88.10121395277365,22.40340570138096,12.23608618034822,20.334639042065483
2023-02-02,1115.28,1105.65,1120.17,1092.14,399287,3025261782.05,2.65,1.15,12.6,1.71,1090.468,1027.2705,,87.83705953191267,24.480988942989825,14.685066732876543,19.591844420226565
2023-02-03,1098.49,1109.5,1113.22,1091.19,466343,4510431100.34,3.5,1.26,-8.25,1.18,1094.52,1033.7055,,87.28098992553656,26.136861979087826,16.9754257821188,18.32287239393805
2023-02-06,1124.93,1129.63,1138.83,1079.28,475396,592654693.59,4.01,0.97,14.02,1.19,1106.206,1042.125,,86.52630357867874,28.74215439222371,19.328771504139784,18.826765776167854
2023-02-07,1137.79,1131.62,1151.23,1106.94,489694,3725774504.38,3.49,0.91,9.97,0.58,1116.196,1050.1195,,85.2937452519625,30.614538426535546,21.585924888618937,18.057227075833218
2023-02-08,1164.07,1158.06,1176.56,1145.24,310286,4033197874.23,0.56,-2.55,-4.85,0.23,1126.892,1059.1135,,87.15296980422518,33.84179613516676,24.0370991379285,19.60939399447652
2023-02-09,1162.07,1165.39,1175.57,1162.07,301709,4034698432.61,3.48,-0.15,-9.67,1.05,1138.8400000000001,1069.5925,,90.139921294272,36.56934224722659,26.54354775978812,20.051588974876935
2023-02-10,1172.9,1182.98,1208.56,1172.0,76704,2985597819.26,0.5,1.63,-10.19,1.69,1153.536,1080.6855,,90.28958983744215,39.692754816535626,29.17338917113762,21.038731290796008
2023-02-13,1183.17,1179.21,1195.49,1177.82,191612,2034541607.34,4.19,-0.3,2.93,0.14,1163.452,1090.98,,86.84004103059196,41.38679309942427,31.616069956794952,19.54144628525863
